Order Country,Coordinates
Indonesia,"(-2.4833826, 117.8902853)"
India,"(22.3511148, 78.6677428)"
Australia,"(-24.7761086, 134.755)"
China,"(35.000074, 104.999927)"
Japón,"(36.5748441, 139.2394179)"
Corea del Sur,"(36.638392, 127.6961188)"
Singapur,"(1.2899175, 103.8519072)"
Turquía,"(38.9597594, 34.9249653)"
Mongolia,"(43.9382593, -79.2235563)"
Estados Unidos,"(39.7837304, -100.445882)"
Nigeria,"(9.6000359, 7.9999721)"
República Democrática del Congo,"(-2.9814344, 23.8222636)"
Senegal,"(14.4750607, -14.4529612)"
Marruecos,"(28.3347722, -10.371337908392647)"
Alemania,"(51.1638175, 10.4478313)"
Francia,"(46.603354, 1.8883335)"
Países Bajos,"(52.24764975, 5.541246849406163)"
Reino Unido,"(54.7023545, -3.2765753)"
Guatemala,"(15.5855545, -90.345759)"
El Salvador,"(13.8000382, -88.9140683)"
Panamá,"(8.559559, -81.1308434)"
República Dominicana,"(19.0974031, -70.3028026)"
Venezuela,"(8.0018709, -66.1109318)"
Colombia,"(4.099917, -72.9088133)"
Honduras,"(15.2572432, -86.0755145)"
Brasil,"(-10.3333333, -53.2)"
México,"(23.6585116, -102.0077097)"
Uruguay,"(-32.8755548, -56.0201525)"
Argentina,"(-34.9964963, -64.9672817)"
Cuba,"(23.0131338, -80.8328748)"
Perú,"(-6.8699697, -75.0458515)"
Nicaragua,"(12.6090157, -85.2936911)"
Ecuador,"(-1.3397668, -79.3666965)"
Angola,"(-11.8775768, 17.5691241)"
Sudán,"(14.5844444, 29.4917691)"
Somalia,"(8.3676771, 49.083416)"
Costa de Marfil,"(7.9897371, -5.5679458)"
Egipto,"(26.2540493, 29.2675469)"
Italia,"(42.6384261, 12.674297)"
España,"(39.3260685, -4.8379791)"
Suecia,"(59.6749712, 14.5208584)"
Austria,"(47.59397, 14.12456)"
Canada,"(61.0666922, -107.991707)"
Madagascar,"(-18.9249604, 46.4416422)"
Argelia,"(28.0000272, 2.9999825)"
Liberia,"(5.7499721, -9.3658524)"
Zambia,"(-14.5189121, 27.5589884)"
Níger,"(17.7356214, 9.3238432)"
SudAfrica,"(-28.8166236, 24.991639)"
Mozambique,"(-19.302233, 34.9144977)"
Tanzania,"(-6.5247123, 35.7878438)"
Ruanda,"(-1.9646631, 30.0644358)"
Israel,"(30.8124247, 34.8594762)"
Nueva Zelanda,"(-41.5000831, 172.8344077)"
Bangladés,"(24.4769288, 90.2934413)"
Tailandia,"(14.8971921, 100.83273)"
Irak,"(33.0955793, 44.1749775)"
Arabia Saudí,"(25.6242618, 42.3528328)"
Filipinas,"(12.7503486, 122.7312101)"
Kazajistán,"(48.1012954, 66.7780818)"
Irán,"(32.6475314, 54.5643516)"
Myanmar (Birmania),"(17.1750495, 95.9999652)"
Uzbekistán,"(41.32373, 63.9528098)"
Benín,"(9.5293472, 2.2584408)"
Camerún,"(4.6125522, 13.1535811)"
Kenia,"(1.4419683, 38.4313975)"
Togo,"(8.7800265, 1.0199765)"
Ucrania,"(49.4871968, 31.2718321)"
Polonia,"(52.215933, 19.134422)"
Portugal,"(39.6621648, -8.1353519)"
