Feature,Importance
Days for shipment (scheduled),0.18077451
Category Name_Pet Supplies,0.012142213
Category Name_Computers,0.0119881565
Department Name_Fitness,0.011944129
Category Name_Men's Clothing,0.011831667
Category Name_Video Games,0.011136909
Product Quantity_Nike Dri-FIT Crew Sock 6 Pack,0.008457355
Product Quantity_Nike Men's Deutschland Weltmeister Winners Bl,0.008036842
Product Quantity_Garmin Approach S3 Golf GPS Watch,0.007978123
Product Quantity_adidas Kids' F5 Messi FG Soccer Cleat,0.007837166
Category Name_Girls' Apparel,0.007671124
Category Name_Children's Clothing,0.0075913058
Department Name_Footwear,0.0075449767
Category Name_Trade-In,0.007443004
Category Name_Books ,0.0073485444
Customer Segment_Home Office,0.007157734
Product Quantity_Diamondback Women's Serene Classic Comfort Bi,0.0071540168
Order Status_PENDING,0.0069106463
Category Name_Electronics,0.006880863
Department Name_Technology,0.006802378
Type_CASH,0.0067997263
Order Status_ON_HOLD,0.006567841
Product Quantity_Team Golf Pittsburgh Steelers Putter Grip,0.0065622674
Total Sales,0.00656196
Category Name_Men's Footwear,0.006437637
Category Name_Camping & Hiking,0.006409105
Total Benefit per Order,0.0064070933
Total Order Item Product Price,0.006357054
Category Name_Crafts,0.006340292
Order Status_COMPLETE,0.0061993706
Product Quantity_Nike Men's Dri-FIT Victory Golf Polo,0.006187757
Department Name_Golf,0.006170201
Customer Segment_Corporate,0.006136446
Product Quantity_Hirzl Women's Soffft Flex Golf Glove,0.0061248844
Total Order Item Discount,0.0061215465
Category Name_Water Sports,0.0061003487
Product Quantity_Fitbit The One Wireless Activity & Sleep Trac,0.006076059
Product Quantity_Nike Men's CJ Elite 2 TD Football Cleat,0.0060547614
Category Name_Women's Apparel,0.0060324385
Product Quantity_Under Armour Men's Tech II T-Shirt,0.006018
Product Quantity_adidas Men's Germany Black Crest Away Tee,0.0059753074
Product Quantity_Team Golf San Francisco Giants Putter Grip,0.005942327
Product Quantity_TaylorMade 2014 Purelite Stand Bag,0.0059400382
Type_TRANSFER,0.005928477
Total Order Item Total,0.005900085
Product Quantity_Nike Men's Free 5.0+ Running Shoe,0.005874567
Product Quantity_Under Armour Girls' Toddler Spine Surge Runni,0.0058269766
Market_LATAM,0.0058044177
Category Name_Indoor/Outdoor Games,0.0058040125
Distance (km),0.005715404
Product Quantity_Perfect Fitness Perfect Rip Deck,0.0056777406
Shipping Mode_Second Class,0.005674659
Department Name_Apparel,0.0056597097
Product Quantity_O'Brien Men's Neoprene Life Vest,0.0055917436
Product Quantity_Under Armour Hustle Storm Medium Duffle Bag,0.005576721
Order Latitude,0.005537015
Category Name_Shop By Sport,0.005528336
Category Name_Golf Gloves,0.0055208225
Product Quantity_Glove It Imperial Golf Towel,0.005514979
Type_DEBIT,0.0054753455
Market_USCA,0.005472676
Product Quantity_Pelican Sunstream 100 Kayak,0.005465138
Category Name_Kids' Golf Clubs,0.0054389606
Order Longitude,0.0053929677
Department Name_Fan Shop,0.0053624935
Product Quantity_Nike Women's Tempo Shorts,0.005346622
Product Quantity_Nike Men's Free TR 5.0 TB Training Shoe,0.005314224
Order Status_PENDING_PAYMENT,0.0052640187
Order Status_PAYMENT_REVIEW,0.0052526654
Product Quantity_Elevation Training Mask 2.0,0.005183212
Product Quantity_Nike Men's Fingertrap Max Training Shoe,0.0051778117
Product Quantity_Clicgear 8.0 Shoe Brush,0.005138161
Product Quantity_Merrell Men's All Out Flash Trail Running Sho,0.0051114094
Product Quantity_Under Armour Kids' Mercenary Slide,0.0051081995
Market_Africa,0.0051081427
Product Quantity_Team Golf New England Patriots Putter Grip,0.0050720978
order_month,0.0050283372
